ID_Pelanggan,Nama,Tahun,Umur,Pekerjaan,Jumlah_Chat,Frekuensi_Konsultasi,Kunjungan_Website,Nilai_Transaksi,Frekuensi_Pembelian,Produk_Diminati,Status_Pembayaran
503,"Halim",2026,24,Teknisi,7,4,17,6172716,1,DVR,Belum
504,Redo,2026,32,"Pegawai Swasta",9,2,23,8691213,7,DVR,Belum
505,"Kusuma Wardana",2025,38,Freelancer,15,2,20,14878679,4,"Paket CCTV",Belum
506,"Norma",2026,54,Pegawai,32,6,22,3236422,3,"IP Camera",Lunas
507,Anastasya,2026,48,Kontraktor,17,4,15,9736035,1,"Paket CCTV",Lunas
508,"Ega Wahyudi",2025,46,Freelancer,33,2,10,8303177,9,"IP Camera",Belum
509,"Erika",2026,35,Karyawan,16,0,6,5033325,1,"IP Camera",Belum
510,"Nasution",2026,23,Wirausaha,34,6,4,10802379,10,"CCTV Outdoor",Belum
511,"Riko",2025,38,Pegawai,5,4,5,2580227,2,"CCTV Outdoor",Lunas
512,Yanto,2026,55,Wirausaha,7,10,20,6593850,6,"CCTV Outdoor",Lunas
513,"Suhendra",2025,23,Mahasiswa,26,4,11,11567549,10,"CCTV Outdoor",Belum
514,"Rianto",2026,39,Teknisi,17,2,4,2065448,10,"Smart Home CCTV",Lunas
515,"Ardi Birawinata",2026,41,Karyawan,17,10,1,14780599,5,"CCTV Outdoor",Lunas
516,"Hasballah",2025,49,Karyawan,4,3,14,3962407,10,"Paket CCTV",Belum
517,Sakti,2026,23,"Pegawai Swasta",19,10,6,9764444,6,"IP Camera",Lunas
518,Nasroni,2026,35,Freelancer,21,7,20,14846588,1,"Paket CCTV",Lunas
519,"Barsiyem",2025,26,Mahasiswa,28,1,17,10432386,3,"IP Camera",Belum
520,"Silvia",2026,28,Mahasiswa,20,7,13,10996292,7,"Kamera CCTV",Belum
521,"Galang",2025,22,Mahasiswa,15,8,25,9080573,10,"Paket CCTV",Belum
522,"Tari",2026,42,Kontraktor,12,8,22,7365404,8,"Paket CCTV",Lunas
523,"Nugroho",2026,30,Teknisi,13,3,10,5101336,7,"Kamera CCTV",Belum
524,Wirda,2025,33,"Pegawai Swasta",3,6,1,14197612,4,DVR,Belum
525,Lalita,2025,23,Freelancer,21,1,23,7027809,2,"CCTV Outdoor",Lunas
526,Gasti,2026,29,Wirausaha,24,9,3,0,0,"Smart Home CCTV",Belum
527,Widya,2026,39,"Pegawai Swasta",23,7,12,10338219,4,"Paket CCTV",Belum
528,Ilsa,2025,52,Kontraktor,24,1,20,1612145,2,DVR,Lunas
529,Mujur,2025,40,"Pegawai Swasta",20,10,8,5203279,1,DVR,Belum
530,Lidya,2025,29,Mahasiswa,27,4,18,14915543,2,"IP Camera",Lunas
531,"Hasna Marpaung",2025,40,Freelancer,15,9,20,3201542,5,"CCTV Outdoor",Lunas
532,"Najwa Palastri",2025,53,Kontraktor,31,0,1,7128167,3,DVR,Lunas
533,Silvia,2025,41,"Pegawai Swasta",18,3,19,12075201,1,"CCTV Outdoor",Lunas
534,Mala,2026,45,Kontraktor,34,9,17,9914952,9,"IP Camera",Belum
535,"Eka Riyanti",2025,21,Kontraktor,16,4,6,13145045,2,DVR,Belum
536,Latika,2025,26,Teknisi,33,7,3,7006952,1,"CCTV Outdoor",Belum
537,Radit,2026,37,Pegawai,27,5,11,4971125,7,"Paket CCTV",Lunas
538,Umi,2025,46,Kontraktor,24,8,21,9284868,1,"IP Camera",Belum
539,Cahyadi,2025,21,Wirausaha,9,9,7,14454122,6,"Kamera CCTV",Lunas
540,Harjaya,2026,36,Freelancer,13,6,7,0,0,DVR,Belum
541,"Nyoman",2025,31,Kontraktor,21,10,7,7424078,4,"IP Camera",Lunas
542,"Cinthia Prastuti",2025,23,Karyawan,24,0,12,4209761,8,"Kamera CCTV",Lunas
543,Almira,2026,52,Karyawan,20,4,24,14397356,6,"Paket CCTV",Belum
544,Amelia,2026,48,Freelancer,24,1,7,13548060,3,DVR,Lunas
545,Nardi,2025,29,Karyawan,10,8,9,6611141,7,"IP Camera",Belum
546,"Putri Utama",2026,55,Wirausaha,10,4,24,11387252,4,"IP Camera",Lunas
547,Uda,2025,55,Wirausaha,23,6,25,13731007,2,DVR,Lunas
548,Lala,2025,30,Teknisi,15,1,24,4637366,7,"Smart Home CCTV",Belum
549,Dewi,2026,29,Karyawan,26,9,1,2846070,7,"IP Camera",Lunas
550,Tari,2026,34,Freelancer,33,8,15,14086414,7,"Kamera CCTV",Lunas
551,Harsaya,2026,20,Mahasiswa,15,4,23,4807739,6,"Kamera CCTV",Lunas
552,"Hamzah",2026,37,Mahasiswa,16,2,20,7541477,3,"IP Camera",Belum
553,"Talia",2025,24,Pegawai,14,1,15,8197629,4,"Paket CCTV",Lunas
554,"Eka Pradana",2025,49,Kontraktor,30,0,11,6029261,3,"IP Camera",Belum
555,"Aisyah Maulana",2025,23,"Pegawai Swasta",28,8,25,8720929,2,"Smart Home CCTV",Lunas
556,Irma,2025,40,Wirausaha,13,3,12,11644473,10,"Smart Home CCTV",Lunas
557,"Dewi",2026,28,Teknisi,18,1,1,3688959,7,"Kamera CCTV",Belum
558,Mila,2025,26,Mahasiswa,15,5,25,6790559,9,"CCTV Outdoor",Belum
559,"Narpati",2026,45,Karyawan,23,10,10,6323289,5,"Kamera CCTV",Lunas
560,"Santoso",2026,21,Wirausaha,20,3,20,9902477,1,"Kamera CCTV",Belum
561,"Nanang",2026,21,Pegawai,34,1,5,11711497,10,DVR,Belum
562,Kezia,2026,33,Teknisi,19,6,6,11980711,8,"Paket CCTV",Belum
563,Erik,2026,45,Mahasiswa,29,0,8,2341128,9,DVR,Lunas
564,"Sitompul",2025,41,Teknisi,31,4,24,2751065,1,"Smart Home CCTV",Lunas
565,"Rudi Hamzah",2026,42,Kontraktor,13,8,20,7825963,9,"Smart Home CCTV",Lunas
566,"Ihsan",2025,43,Karyawan,35,6,9,9499248,8,"Kamera CCTV",Lunas
567,Wahyuni,2025,30,Mahasiswa,2,0,10,12243097,2,"CCTV Outdoor",Belum
568,Hasan,2026,28,Mahasiswa,23,10,1,3326557,7,"Kamera CCTV",Belum
569,"Mustofa",2026,31,Teknisi,32,9,2,14304887,6,"IP Camera",Belum
570,Hasta,2026,28,Kontraktor,16,7,4,8735532,2,"Kamera CCTV",Belum
571,"Purnomo",2025,41,Freelancer,5,4,21,8096702,4,"Paket CCTV",Lunas
572,Warsito,2025,50,Freelancer,24,9,22,14766608,2,"CCTV Outdoor",Belum
573,"Harjo",2026,35,Freelancer,4,6,21,9247833,5,"CCTV Outdoor",Lunas
574,Damar,2025,40,Wirausaha,26,7,7,13834084,2,DVR,Belum
575,Asnawi,2026,45,Mahasiswa,26,7,7,3830090,8,"Paket CCTV",Lunas
576,Herlambang,2025,23,Mahasiswa,33,4,16,0,0,DVR,Belum
577,"Edward",2026,31,Freelancer,35,10,11,0,0,"IP Camera",Belum
578,Kayla,2026,50,Wirausaha,20,10,1,3446563,9,"Paket CCTV",Belum
579,"Vicky",2025,49,Wirausaha,17,8,16,10054219,4,"Paket CCTV",Belum
580,Nabila,2026,23,Freelancer,16,9,14,9327670,4,"CCTV Outdoor",Belum
581,"Maria",2026,48,Teknisi,30,8,22,5115380,7,"Paket CCTV",Lunas
582,Shania,2026,36,"Pegawai Swasta",26,4,19,7272388,8,DVR,Lunas
583,"Sihombing",2025,27,Kontraktor,20,2,8,12691556,1,"IP Camera",Lunas
584,Kayla,2025,40,"Pegawai Swasta",33,8,7,2391495,8,"Paket CCTV",Lunas
585,"Arta",2026,51,Mahasiswa,18,7,19,13148851,9,"Smart Home CCTV",Belum
586,"Damanik",2026,35,Mahasiswa,2,3,1,5751154,1,"Smart Home CCTV",Lunas
587,Hesti,2025,55,Kontraktor,14,9,2,4999397,9,"Smart Home CCTV",Belum
588,Sugianto,2025,55,Pegawai,0,10,11,13035316,2,"IP Camera",Lunas
589,Mareta,2025,46,Karyawan,1,3,24,12122087,3,"CCTV Outdoor",Belum
590,Vino,2025,52,Wirausaha,7,1,23,6859137,2,"Smart Home CCTV",Belum
591,Desta,2025,41,Pegawai,2,4,9,14008385,7,"CCTV Outdoor",Belum
592,Reta,2025,55,Karyawan,7,2,20,9798884,8,"CCTV Outdoor",Lunas
593,Vega,2025,49,Wirausaha,17,9,19,14085520,3,"Kamera CCTV",Lunas
594,"Martani",2026,21,Kontraktor,11,8,1,12644982,4,DVR,Lunas
595,"Hilda",2026,39,Karyawan,20,1,13,10363865,10,"Smart Home CCTV",Lunas
596,Kartika,2026,32,Wirausaha,3,7,16,3038503,1,DVR,Lunas
597,Kamaria,2025,55,Kontraktor,32,8,13,10910609,7,"Kamera CCTV",Lunas
598,Kamal,2026,27,Karyawan,20,6,10,3203854,8,"CCTV Outdoor",Belum
599,Jasmin,2025,54,Mahasiswa,2,8,5,2720983,5,"Smart Home CCTV",Belum
600,Seto,2025,24,"Pegawai Swasta",14,5,17,1664498,6,"Paket CCTV",Belum
601,Cindy,2026,31,Mahasiswa,1,10,4,0,0,"Smart Home CCTV",Belum
602,Kerin,2026,24,"Pegawai Swasta",9,9,22,14323939,10,"Smart Home CCTV",Belum
603,Ega,2026,39,Mahasiswa,33,10,13,10124049,5,"CCTV Outdoor",Belum
604,"Budi",2025,41,Mahasiswa,8,2,20,7377787,1,"Kamera CCTV",Belum
605,"Titik",2026,52,Wirausaha,0,10,14,13343386,6,"Kamera CCTV",Belum
606,Janet,2025,45,Teknisi,22,9,8,5577280,4,"IP Camera",Lunas
607,Indah,2026,52,Mahasiswa,16,6,18,5413177,5,"Smart Home CCTV",Belum
608,"Tina",2026,34,Mahasiswa,22,3,13,2637143,8,"IP Camera",Belum
